,,value,value,value,value,value,value,value,value,value,value,value
year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
state,month,,,,,,,,,,,
SD,11,10.7,10.9,9.4,8.8,6.6,5.3,4.5,4.3,3.6,3.3,
SD,12,10.8,10.9,9.2,8.7,6.3,5.2,4.3,4.1,3.5,3.2,
TN,1,12.4,11.3,10.2,9.1,6.7,7.0,5.8,5.1,4.5,4.0,3.0
TN,2,12.1,11.0,10.0,8.6,6.5,6.5,5.4,4.6,4.0,3.5,3.1
TN,3,11.5,10.3,9.3,7.7,6.1,6.1,5.3,4.1,3.5,3.4,3.0
TN,4,10.9,10.0,8.8,7.4,5.2,5.6,4.6,3.6,2.7,2.6,
TN,5,10.7,10.3,9.2,7.6,5.9,6.0,4.6,3.8,2.9,2.7,
TN,6,11.2,11.1,9.8,8.3,6.6,6.3,5.4,4.4,3.7,3.1,
TN,7,11.0,10.8,9.8,7.9,7.1,6.2,5.3,4.6,3.6,3.0,
TN,8,11.2,11.0,9.5,7.7,7.2,6.0,5.3,4.8,3.7,2.8,
TN,9,10.7,10.7,8.6,7.3,6.7,5.4,4.7,4.0,3.1,2.0,
TN,10,10.5,10.3,8.6,7.1,6.5,5.7,4.8,4.2,3.3,2.4,
TN,11,10.9,10.0,8.2,6.6,6.5,5.5,4.4,4.0,3.1,2.3,
TN,12,10.8,9.9,8.6,6.3,6.4,5.5,4.6,4.1,3.5,2.4,
TX,1,5.9,5.8,5.0,4.6,4.1,3.8,3.3,3.7,3.6,3.5,3.8
TX,2,5.9,5.8,5.0,4.6,4.2,3.8,3.4,3.7,3.6,3.6,3.6
TX,3,5.9,5.8,4.9,4.4,4.0,3.6,3.2,3.5,3.4,3.6,3.4
TX,4,4.9,4.9,4.3,4.0,3.6,3.2,2.9,3.2,3.3,3.3,
TX,5,4.8,4.6,4.2,3.6,3.2,3.1,2.7,3.0,2.8,3.1,
TX,6,4.7,4.6,4.2,3.6,3.3,3.1,2.9,3.1,3.0,3.2,
TX,7,4.6,4.3,4.0,3.5,3.0,2.8,2.7,3.0,2.7,3.0,
TX,8,4.7,4.4,4.1,3.5,3.2,2.9,3.0,3.2,2.9,3.3,
TX,9,4.4,4.1,3.9,3.3,2.9,2.6,2.7,2.9,2.7,3.0,
TX,10,4.3,3.9,3.7,3.3,2.9,2.5,2.7,2.8,2.7,3.0,
TX,11,4.6,4.2,3.9,3.5,3.3,2.8,2.9,3.1,2.9,3.3,
TX,12,5.1,4.5,4.1,3.6,3.5,3.0,3.3,3.4,3.2,3.5,
UT,1,11.2,10.1,8.3,8.7,6.9,6.7,5.0,5.0,4.0,3.9,3.8
UT,2,10.8,9.8,8.2,8.2,6.9,6.2,4.7,4.5,3.7,3.4,3.8
UT,3,10.6,9.5,7.9,8.0,6.9,5.9,4.7,4.1,3.6,3.5,3.7
UT,4,9.6,9.0,7.3,7.5,5.9,5.3,4.2,3.3,3.1,2.9,
UT,5,9.3,8.9,7.7,7.7,6.3,5.7,4.2,3.3,3.1,3.1,
UT,6,9.5,9.6,8.5,8.5,7.0,6.2,5.2,4.1,4.1,3.9,
UT,7,9.3,9.1,8.5,8.1,7.3,6.1,5.2,4.0,4.0,3.9,
UT,8,9.3,9.1,8.1,7.8,7.0,5.5,4.9,3.7,3.6,3.4,
UT,9,9.0,8.9,7.4,7.5,6.5,5.3,4.9,3.4,3.4,3.2,
UT,10,9.0,8.3,7.4,7.6,6.2,5.1,4.7,3.3,3.3,3.2,
UT,11,9.3,7.8,7.1,7.0,6.2,4.9,4.4,3.3,3.1,3.1,
UT,12,9.2,7.8,7.7,6.8,5.9,4.7,4.4,3.3,3.2,3.1,
VA,1,8.6,8.3,7.3,7.0,5.7,4.7,4.4,5.0,4.2,4.1,3.8
VA,2,8.4,8.0,7.1,6.5,5.6,4.4,4.4,4.8,4.1,3.7,3.6
VA,3,8.3,7.7,6.8,6.3,5.5,4.3,4.5,4.5,4.0,3.5,4.7
VA,4,7.9,7.4,6.4,6.0,4.7,4.0,4.2,4.1,3.7,3.0,
VA,5,7.9,7.6,6.7,6.3,5.1,4.4,4.3,4.1,3.6,3.1,
VA,6,8.4,8.4,7.3,6.9,5.4,4.7,4.9,4.5,4.2,3.7,
VA,7,8.4,8.3,7.3,6.7,5.6,4.8,5.1,4.5,4.1,3.8,
VA,8,8.2,8.0,6.9,6.4,5.4,4.6,5.0,4.5,3.9,3.7,
VA,9,8.0,7.9,6.4,6.2,4.9,4.5,4.9,4.1,3.7,3.4,
VA,10,7.8,7.5,6.2,6.0,4.6,4.4,4.6,3.8,3.5,3.3,
VA,11,8.1,7.1,6.1,5.7,4.5,4.4,4.5,3.9,3.5,3.4,
VA,12,7.8,6.9,6.2,5.4,4.2,4.2,4.5,3.8,3.6,3.3,
VI,1,8.4,7.9,6.2,5.4,4.4,3.9,3.8,3.5,3.3,3.1,2.8
VI,2,8.3,7.9,6.3,5.3,4.5,4.0,4.0,3.7,3.4,3.1,2.8
VI,3,8.4,7.5,6.0,5.0,4.2,3.8,3.8,3.5,3.3,3.0,3.8
VI,4,7.8,7.0,5.5,4.6,3.5,3.5,3.5,3.2,3.0,2.6,
VI,5,7.8,6.8,5.3,4.5,3.6,3.6,3.4,3.2,2.9,2.6,
VI,6,8.2,7.0,5.7,5.0,4.1,4.0,3.8,3.7,3.5,3.0,
VI,7,8.0,6.8,5.5,4.7,3.9,3.8,3.5,3.4,3.2,2.7,
VI,8,8.0,6.7,5.4,4.6,4.0,3.7,3.5,3.4,3.2,2.6,
VI,9,7.4,6.1,4.8,4.2,3.5,3.3,3.1,3.0,2.8,2.2,
VI,10,7.3,5.9,4.9,4.1,3.5,3.3,3.1,2.9,2.7,2.1,
VI,11,7.1,5.6,4.5,3.8,3.3,3.2,2.9,2.8,2.6,2.1,
VI,12,7.3,5.6,4.8,3.8,3.3,3.3,3.1,2.9,2.7,2.2,
VT,1,7.0,6.6,5.8,5.2,4.7,4.3,3.9,3.6,3.2,2.9,3.0
VT,2,6.9,6.2,5.5,5.0,4.5,4.1,3.7,3.5,3.0,2.7,2.6
VT,3,7.0,6.2,5.5,4.9,4.5,4.0,3.6,3.4,3.0,2.7,3.4
VT,4,6.6,6.0,5.2,4.7,4.3,3.8,3.5,3.2,2.8,2.5,
VT,5,5.9,5.3,4.8,4.3,3.8,3.4,3.1,2.8,2.5,2.2,
VT,6,6.1,5.3,5.1,4.5,3.9,3.6,3.3,3.0,2.7,2.5,
VT,7,5.9,5.3,5.0,4.4,3.8,3.5,3.2,2.9,2.5,2.4,
VT,8,5.6,5.0,4.8,4.2,3.7,3.4,3.1,2.8,2.4,2.3,
VT,9,5.6,5.2,4.8,4.2,3.7,3.4,3.1,2.8,2.4,2.3,
VT,10,5.1,4.8,4.1,3.6,3.1,2.8,2.4,2.1,1.7,1.7,
VT,11,5.7,5.0,4.4,4.0,3.6,3.2,2.9,2.6,2.2,2.3,
VT,12,5.7,4.8,4.4,3.9,3.5,3.1,2.8,2.4,2.1,2.1,
WA,1,7.9,7.1,6.6,6.4,5.7,5.2,4.3,4.4,3.6,3.4,3.0
WA,2,7.9,6.9,6.6,6.1,5.7,5.0,4.2,4.2,3.4,3.1,2.8
WA,3,7.7,6.6,6.2,5.7,5.6,4.8,4.1,3.9,3.2,3.0,3.3
WA,4,7.0,6.2,5.6,5.3,4.8,4.3,3.7,3.5,2.8,2.4,
WA,5,7.1,6.4,6.0,5.7,5.3,4.7,3.9,3.7,2.8,2.7,
WA,6,7.2,6.9,6.4,6.0,5.4,4.6,4.3,3.8,3.3,2.9,
WA,7,7.1,6.7,6.4,5.9,5.5,4.5,4.3,3.8,3.1,3.0,
WA,8,7.1,6.9,6.2,5.8,5.5,4.4,4.4,3.9,3.2,2.9,
WA,9,6.8,6.7,5.8,5.6,5.1,4.1,4.2,3.5,2.8,2.6,
WA,10,6.6,6.4,5.6,5.7,4.8,4.0,4.0,3.3,2.8,2.5,
WA,11,6.7,6.1,5.4,5.3,4.8,3.9,3.9,3.3,2.7,2.5,
WA,12,6.7,6.2,5.6,5.1,4.6,3.8,3.8,3.1,2.8,2.4,
WV,1,11.3,10.5,9.4,8.4,7.1,6.5,6.1,5.6,5.3,5.3,4.4
WV,2,11.2,10.4,9.4,8.0,7.1,6.4,6.1,5.5,5.2,5.1,4.2
WV,3,10.9,9.9,8.9,7.4,6.7,6.0,5.8,5.0,4.8,4.8,5.3
WV,4,10.0,9.1,8.0,6.8,5.8,5.4,5.2,4.5,4.2,4.1,
WV,5,9.9,9.3,8.2,6.9,6.0,5.5,5.1,4.5,4.1,4.1,
WV,6,9.8,9.4,8.2,7.0,5.8,5.5,5.2,4.5,4.3,4.2,
WV,7,9.5,9.1,8.2,6.8,6.0,5.5,5.1,4.5,4.2,4.2,
WV,8,9.6,9.0,7.9,6.8,6.0,5.3,5.0,4.6,4.2,4.1,
WV,9,9.3,8.7,7.3,6.4,5.6,5.1,4.8,4.3,4.0,3.7,
WV,10,9.1,8.6,7.2,6.6,5.6,5.2,4.7,4.2,4.0,3.6,
WV,11,9.8,8.7,7.3,6.6,5.9,5.6,4.9,4.5,4.4,3.9,
WV,12,9.6,8.8,7.6,6.7,5.9,5.7,5.0,4.7,4.7,4.0,
WY,1,9.4,9.6,8.1,8.2,7.6,7.4,7.3,6.2,6.1,5.7,5.5
WY,2,10.0,9.6,8.4,8.1,8.1,7.8,7.7,6.2,6.5,5.9,5.5
WY,3,9.3,8.9,7.8,7.4,7.5,7.6,6.9,5.6,6.0,5.2,6.1
WY,4,8.4,8.0,7.3,6.7,6.6,6.9,6.2,4.9,5.3,4.5,
WY,5,8.3,7.8,7.3,6.3,6.3,6.8,6.0,4.7,5.0,4.5,
WY,6,8.4,8.1,7.7,6.8,6.6,7.2,6.4,5.3,5.4,4.9,
WY,7,8.3,7.7,7.6,6.5,6.6,6.9,5.9,5.1,5.1,4.7,
WY,8,8.6,7.9,7.6,6.6,6.6,6.7,6.0,5.3,5.0,4.8,
WY,9,8.1,7.5,7.0,6.0,5.9,5.9,5.4,4.6,4.5,4.3,
WY,10,8.0,7.2,7.0,6.2,5.8,5.7,5.3,4.6,4.5,4.6,
WY,11,8.3,7.1,7.0,6.3,6.0,5.9,5.1,4.9,4.5,4.8,
WY,12,8.6,7.3,7.3,6.4,6.1,6.0,5.1,5.1,4.7,5.0,
